# Ky E
0 0.13647411598778
1 0.15901507441671
2 0.16075942470383
3 0.15901507441674
4 0.16169656379076
5 0.16169656379075
6 0.15901507441668
7 0.16075942470377
8 0.15901507441676
9 0.13647411598791
10 0.15901507441673
11 0.16075942470382
12 0.1590150744167
13 0.16169656379081
14 0.16169656379074
15 0.15901507441675
16 0.16075942470374
17 0.15901507441682
18 0.13647411598784
19 0.15901507441673
20 0.16075942470377
21 0.15901507441675
22 0.16169656379077
23 0.16169656379073
24 0.15901507441675
25 0.16075942470387
26 0.15901507441674
